feature_set,split,model,rmse,mae,r2
base,validation,Group Mean Baseline,34.18117502030267,23.181626731680904,0.4966957586445777
base,validation,Random Forest,21.750675446309298,12.157992060392742,0.7962009710797289
base,validation,XGBoost,21.180805757420842,12.315108843328886,0.8067401807444744
base,test,Group Mean Baseline,29.07468388988758,20.487588273586585,0.5323232780246371
base,test,Random Forest,19.443696567149587,13.127668964934578,0.7908425103559542
base,test,XGBoost,20.188896372405928,13.833598786021629,0.7745029273026758
weather,validation,Group Mean Baseline,34.18117502030267,23.181626731680904,0.4966957586445777
weather,validation,Random Forest,21.458248030373515,11.946928580173736,0.801644094062853
weather,validation,XGBoost,21.665016720469374,12.619514912337886,0.797803016974556
weather,test,Group Mean Baseline,29.07468388988758,20.487588273586585,0.5323232780246371
weather,test,Random Forest,17.948461481576132,11.094610472291736,0.8217743507532014
weather,test,XGBoost,17.874798189035726,11.06467975736265,0.8232342805703152
footprints,validation,Group Mean Baseline,34.18117502030267,23.181626731680904,0.4966957586445777
footprints,validation,Random Forest,21.690150758234328,12.065424626457633,0.7973335989671332
footprints,validation,XGBoost,20.945925391174825,12.095353811254764,0.8110026483422127
footprints,test,Group Mean Baseline,29.07468388988758,20.487588273586585,0.5323232780246371
footprints,test,Random Forest,19.51505328603183,13.083089674193777,0.7893045128357432
footprints,test,XGBoost,19.90527396414722,13.246309014890212,0.780794185686688
permits,validation,Group Mean Baseline,34.18117502030267,23.181626731680904,0.4966957586445777
permits,validation,Random Forest,21.730026360768612,12.172155083629818,0.7965877421504699
permits,validation,XGBoost,20.760266034843976,12.239473566707566,0.8143382485085151
permits,test,Group Mean Baseline,29.07468388988758,20.487588273586585,0.5323232780246371
permits,test,Random Forest,19.34093914457116,12.981332648091959,0.7930474092005413
permits,test,XGBoost,19.837539592624378,13.681277356659919,0.7822834900627778
